Speaker,Gen,Mode,Vowel,Long,Duration,F0,F1,F2
1,M,Soft,a,Long,0.07,97,592,1578
1,M,Soft,a,Long,0.16,93,542,1355
1,M,Soft,a,Long,0.17,94,758,1443
1,M,Soft,a,Long,0.15,94,1035,1405
1,M,Soft,a,Long,0.17,97,561,1358
1,M,Soft,a,Long,0.19,96,910,1387
1,M,Soft,a,Long,0.16,95,467,1321
1,M,Soft,a,Long,0.18,95,245,1377
1,M,Soft,a,Long,0.16,95,421,1295
1,M,Soft,a,Long,0.19,95,925,1220
1,M,Soft,a,Long,0.2,96,618,1321
1,M,Soft,a,Long,0.2,99,661,1315
1,M,Soft,a,Short,0.1,93,883,1448
1,M,Soft,a,Short,0.13,95,921,1422
1,M,Soft,a,Short,0.14,99,470,1281
1,M,Soft,a,Short,0.09,96,477,1568
1,M,Soft,a,Short,0.1,97,652,1625
1,M,Soft,a,Short,0.09,98,437,1085
1,M,Soft,a,Short,0.1,93,848,1651
1,M,Soft,a,Short,0.11,92,894,1583
1,M,Soft,a,Short,0.12,94,838,1545
1,M,Soft,a,Short,0.11,94,566,1496
1,M,Soft,a,Short,0.11,95,654,1331
1,M,Soft,a,Short,0.13,94,721,1481
1,M,Soft,ɛ,Long,0.14,101,660,1950
1,M,Soft,ɛ,Long,0.16,101,595,1927
1,M,Soft,ɛ,Long,0.18,97,677,1916
1,M,Soft,ɛ,Long,0.11,98,572,1928
1,M,Soft,ɛ,Long,0.11,99,627,1846
1,M,Soft,ɛ,Long,0.11,96,608,1824
1,M,Soft,ɛ,Long,0.12,95,634,1848
1,M,Soft,ɛ,Long,0.12,99,594,1815
1,M,Soft,ɛ,Long,0.1,99,458,1833
1,M,Soft,ɛ,Long,0.08,102,427,1909
1,M,Soft,ɛ,Long,0.09,99,576,1875
1,M,Soft,ɛ,Long,0.1,100,421,1883
1,M,Soft,ɛ,Short,0.12,94,586,1909
1,M,Soft,ɛ,Short,0.12,95,428,1819
1,M,Soft,ɛ,Short,0.11,94,512,1824
1,M,Soft,ɛ,Short,0.11,95,662,1979
1,M,Soft,ɛ,Short,0.11,98,447,1865
1,M,Soft,ɛ,Short,0.12,99,547,1881
1,M,Soft,ɛ,Short,0.12,96,650,1942
1,M,Soft,ɛ,Short,0.13,94,550,1924
1,M,Soft,ɛ,Short,0.13,94,564,1921
1,M,Soft,ɛ,Short,0.1,95,577,1890
1,M,Soft,ɛ,Short,0.12,96,586,1894
1,M,Soft,ɛ,Short,0.12,93,474,1748
1,M,Soft,e,Long,0.19,97,291,2355
1,M,Soft,e,Long,0.2,102,310,2336
1,M,Soft,e,Long,0.2,101,331,2302
1,M,Soft,e,Long,0.19,96,311,2225
1,M,Soft,e,Long,0.17,96,368,2215
1,M,Soft,e,Long,0.18,98,339,2165
1,M,Soft,e,Long,0.18,95,343,2223
1,M,Soft,e,Long,0.17,95,336,2262
1,M,Soft,e,Long,0.2,95,391,2222
1,M,Soft,e,Long,0.17,94,367,2254
1,M,Soft,e,Long,0.19,94,338,2305
1,M,Soft,e,Long,0.2,93,389,2385
1,M,Soft,e,Short,0.1,94,414,2306
1,M,Soft,e,Short,0.12,94,465,2248
1,M,Soft,e,Short,0.1,94,435,2223
1,M,Soft,e,Short,0.09,94,469,2128
1,M,Soft,e,Short,0.1,93,435,2101
1,M,Soft,e,Short,0.12,94,421,2048
1,M,Soft,e,Short,0.1,93,344,2185
1,M,Soft,e,Short,0.09,97,462,2190
1,M,Soft,e,Short,0.08,99,470,2073
1,M,Soft,e,Short,0.1,103,384,2423
1,M,Soft,e,Short,0.11,102,362,2260
1,M,Soft,e,Short,0.12,100,370,2226
1,M,Soft,i,Long,0.14,96,303,2353
1,M,Soft,i,Long,0.15,96,314,2283
1,M,Soft,i,Long,0.16,96,290,2270
1,M,Soft,i,Long,0.16,96,290,2270
1,M,Soft,i,Long,0.19,101,294,2277
1,M,Soft,i,Long,0.16,102,294,2250
1,M,Soft,i,Long,0.16,103,284,2377
1,M,Soft,i,Long,0.17,97,275,
1,M,Soft,i,Long,0.16,97,297,2359
1,M,Soft,i,Long,0.18,99,293,2357
1,M,Soft,i,Long,0.16,97,270,2336
1,M,Soft,i,Long,0.18,97,286,2350
1,M,Soft,i,Short,0.17,97,283,2301
1,M,Soft,i,Short,0.13,96,377,2427
1,M,Soft,i,Short,0.14,95,396,
1,M,Soft,i,Short,0.13,98,417,2440
1,M,Soft,i,Short,0.13,101,336,
1,M,Soft,i,Short,0.13,99,279,2459
1,M,Soft,i,Short,0.14,96,280,2382
1,M,Soft,i,Short,0.09,98,271,2329
1,M,Soft,i,Short,0.08,96,272,2330
1,M,Soft,i,Short,0.1,95,250,2333
1,M,Soft,i,Short,0.12,99,289,2262
1,M,Soft,i,Short,0.07,99,279,2322
1,M,Soft,ɔ,Long,0.19,95,451,851
1,M,Soft,ɔ,Long,0.21,92,469,923
